Acanthopagrus australis	Surf bream
Acanthopagrus bifasciatus	Twobar seabream
Acanthopagrus butcheri	Southern black bream
Acanthopagrus catenula	Two-bar seabream
Acanthopagrus latus	Yellowfin seabream
Acanthopagrus pacificus	Pacific sunbream
Acanthopagrus schlegelii	Black porgy
Acanthopagrus sivicolus	Okinawa seabream
Acanthopagrus vagus	Wandering seabream
Acanthophis antarcticus	Death adder
Acanthophis cryptamydros	Kimberley death adder
Acanthophis praelongus	Northern death adder
Acanthoplesiops psilogaster	Barebelly longfin
Acanthopsetta nadeshnyi	Scale-eye plaice
Acanthorhodeus chankaensis	Khanka spiny bitterling
Acanthornis magna	Scrubtit
Acanthosaura armata	Armored pricklenape
Acanthostracion polygonius	Honeycomb cowfish
Acanthostracion quadricornis	Scrawled cowfish
Acanthoxyla geisovii	Prickly stick-insect
Acanthoxyla inermis	Unarmed stick insect
Acanthuridae	Surgeonfishes
Acanthurus achilles	Achilles tang
Acanthurus albimento	Whitechin surgeonfish
Acanthurus auranticavus	Orange-socket surgeonfish
Acanthurus bahianus	Ocean surgeon
Acanthurus bariene	Black-spot surgeonfish
Acanthurus blochii	Ringtail surgeonfish
Acanthurus chirurgus	Doctorfish
Acanthurus coeruleus	Blue tang surgeonfish
Acanthurus dussumieri	Eyestripe surgeonfish
Acanthurus guttatus	Whitespotted surgeonfish
Acanthurus japonicus	Japan surgeonfish
Acanthurus leucocheilus	Palelipped surgeonfish
Acanthurus lineatus	Lined surgeonfish
Acanthurus mata	Elongate surgeonfish
Acanthurus monroviae	Monrovia doctorfish
Acanthurus nigricans	Whitecheek surgeonfish
Acanthurus nigricauda	Epaulette surgeonfish
Acanthurus nigrofuscus	Brown surgeonfish
Acanthurus nigroris	Bluelined surgeonfish
Acanthurus nubilus	Bluelined surgeon
Acanthurus olivaceus	Orangespot surgeonfish
Acanthurus polyzona	Black-barred surgeonfish
Acanthurus pyroferus	Chocolate surgeonfish
Acanthurus tennentii	Doubleband surgeonfish
Acanthurus thompsoni	Thompson's surgeonfish
Acanthurus tractus	Fiveband surgeonfish
Acanthurus triostegus	Convict surgeonfish
Acanthurus tristis	Indian Ocean mimic surgeonfish
Acanthurus xanthopterus	Yellowfin surgeonfish
Acantopsis choirorhynchos	Longnose loach
Acarapis woodi	Honey bee tracheal mite
Acari	Mites and ticks
Acarichthys heckelii	Threadfin acara
Accipiter chionogaster	White-breasted hawk
